Rank,Song,Artist,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,YTD Audio
130,Silent Night,Michael Buble,WAR ,53,130,126,169,"10,559,235"
131,I'Ll Be Home For Christmas,Frank Sinatra,ORCH,110,131,138,64,"10,497,483"
132,Believe,Josh Groban,WAR ,65,132,124,209,"10,494,463"
133,Sleigh Ride,Carpenters,AAM ,99,133,132,28,"10,246,709"
134,Santa Claus Is Coming To Town,Frank Sinatra,CAP ,42,134,139,122,"10,116,048"
135,The Chipmunk Song (Christmas Don'T Be Late),Chipmunks,CAP ,103,135,129,209,"9,954,662"
136,Candy Cane Lane,Sia,ATLG,68,136,137,81,"9,822,030"
137,SANTA BABY,Michael Buble,WAR ,36,137,136,170,"9,712,440"
138,Rudolph The Red Nosed Reindeer,Tiny Tim,ROUN,7,138,109,202,"9,565,049"
139,Dance of the Sugar Plum Fairy,Pentatonix,RCA,14,139,135,209,"9,504,030"
140,Let It Snow! Let It Snow! Let It Snow!,Pentatonix,RCA,84,140,149,73,"9,399,489"
141,The First Noel,Frank Sinatra,FU2,89,141,144,48,"9,245,610"
142,O Holy Night,Nat King Cole,ORCH,142,143,160,20,"9,022,058"
143,The First Noel,Josh Groban,WAR ,73,142,145,60,"8,997,078"
144,December,Ariana Grande,R-RR,78,144,133,9,"8,938,751"
145,Let It Snow! Let It Snow! Let It Snow!,Bing Crosby,INT ,145,145,153,5,"8,862,697"
146,Rudolph The Red Nosed Reindeer,Dean Martin,CAP ,146,146,147,11,"8,805,022"
147,Christmas Lights,Coldplay,WTM,40,147,151,208,"8,761,987"
148,I Saw Three Ships,Nat King Cole,CAP ,148,148,167,4,"8,736,119"
149,Wrapped in Red,Kelly Clarkson,RCA,147,149,155,16,"8,553,745"
150,Snowman,Sia,ATLG,29,151,134,111,"8,550,305"
151,Silent Night,Mariah Carey,COL ,150,150,154,6,"8,528,856"
152,Have Yourself A Merry Little Christmas,Bing Crosby,WTM,152,152,163,5,"8,500,333"
153,Run Run Rudolph,Kelly Clarkson,RCA,83,153,158,65,"8,351,803"
154,Christmas Wrapping,Waitresses,R-RR,61,154,173,22,"8,315,124"
155,Sleigh Ride,Boston Pops Orchestra,SNYC,155,156,170,4,"8,303,370"
156,Shake Up Christmas,Train,COL ,111,155,165,60,"8,265,057"
157,Glittery (feat. Troye Sivan) [From The Kacey Musgraves Christmas Show],Kacey Musgraves Feat. Troye Sivan,,157,159,180,3,"8,234,904"
158,What Child Is This,Vince Guaraldi Trio,FAN ,94,160,166,107,"8,173,235"
159,Deck The Halls,Pentatonix,RCA,158,158,161,9,"8,167,637"
160,Blue Christmas,Michael Buble,WAR ,59,157,157,121,"8,164,861"
161,Santa Claus Is Comin' To Town,Sebastian Yatra,,161,163,186,4,"8,067,586"
162,Deck The Halls,Mannheim Steamroller,AMG,162,162,174,8,"8,036,463"
163,Santa Claus Is Comin' to Town,Mariah Carey,COL ,92,161,164,37,"8,025,141"
164,Frosty The Snow Man,Ella Fitzgerald,VERV,164,164,175,8,"7,965,148"
165,"O Come, All Ye Faithful",Pentatonix,RCA,11,166,156,166,"7,907,891"
166,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber Feat. Usher,DEF ,63,165,162,122,"7,871,123"
167,"Nutcracker Suite, Op.71a: Danc",Rostropovich & Bpo,DGG ,29,169,146,78,"7,776,749"
168,Bring Me Love,John Legend,,154,168,176,9,"7,740,994"
169,O Holy Night,Josh Groban,WAR ,45,167,142,54,"7,726,876"
170,(Everybody's Waitin' For) The Man with Bag,Kay Starr,CAP ,134,170,181,19,"7,726,159"
171,Grown Up Christmas List,Amy Grant,AAM,71,172,159,34,"7,725,210"
172,Christmas in Hollis,Run-D.M.C.,AAM ,74,171,187,178,"7,720,169"
