Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 42 2018 10/12/2018 - 10/18/2018,"66,785","62,642","37,481","34,007","25,731","8,276","34,740","50,394,654","34,857,995","15,536,659","15,893,296","15,893,296",0,279,"1,019,200"
Week 43 2018 10/19/2018 - 10/25/2018,"92,967","87,948","59,201","55,024","40,356","14,668","41,770","58,618,469","39,797,326","18,821,143","18,527,314","18,527,314",0,360,"1,834,200"
Week 44 2018 10/26/2018 - 11/01/2018,"201,335","194,806","147,306","139,814","105,436","34,378","74,912","89,518,656","65,035,347","24,483,309","27,041,968","27,041,968",0,"3,861","16,517,500"
Week 45 2018 11/02/2018 - 11/08/2018,"323,603","312,669","210,393","198,112","160,232","37,880","122,815","181,677,673","140,676,605","41,001,068","60,083,751","60,083,751",0,"28,307","94,213,300"
Week 46 2018 11/09/2018 - 11/15/2018,"474,439","457,183","273,510","255,419","206,883","48,536","180,909","314,566,748","249,855,407","64,711,341","112,751,842","112,751,842",0,"92,580","515,200,200"
Week 47 2018 11/16/2018 - 11/22/2018,"739,571","715,759","394,728","367,655","290,945","76,710","270,727","518,240,815","428,943,748","89,297,067","194,875,169","194,875,169",0,"263,254","1,434,443,200"
Week 48 2018 11/23/2018 - 11/29/2018,"1,186,413","1,146,752","549,993","508,467","395,514","112,953","415,257","941,458,509","792,730,676","148,727,833","376,019,211","376,019,211",0,"464,729","2,218,658,800"
Week 49 2018 11/30/2018 - 12/06/2018,"1,504,493","1,449,842","669,142","613,603","460,940","152,663","555,395","1,241,045,930","1,036,103,652","204,942,278","505,393,504","505,393,504",0,"463,272","2,224,331,800"
Week 50 2018 12/07/2018 - 12/13/2018,"1,650,904","1,585,295","686,820","627,470","475,911","151,559","592,030","1,431,947,774","1,185,915,037","246,032,737","569,259,376","569,259,376",0,"504,842","2,361,495,700"
Week 51 2018 12/14/2018 - 12/20/2018,"1,838,990","1,768,505","728,535","666,500","517,457","149,043","620,348","1,630,227,604","1,365,909,327","264,318,277","628,382,968","628,382,968",0,"557,235","2,539,832,600"
Week 52 2018 12/21/2018 - 12/27/2018,"2,125,901","2,019,014","578,998","520,136","362,383","157,753","588,626","2,272,693,843","1,871,867,504","400,826,339","670,984,783","670,984,783",0,"676,527","2,955,220,500"
Week 53 2018 12/28/2018 - 01/03/2019,"258,000","243,672","87,221","79,501","68,046","11,455","77,205","254,974,045","201,243,419","53,730,626","59,442,449","59,442,449",0,"14,506","112,771,900"
