Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 20 2015 05/11/2015 - 05/17/2015,"14,987","10,903","8,675","6,019","3,906","2,113","26,559","9,466,960","3,341,241","6,125,719","142,833","142,828",5,354,"1,279,700"
Week 21 2015 05/18/2015 - 05/24/2015,"14,936","10,562","8,387","5,803","3,853","1,950","25,841","9,823,473","3,262,934","6,560,539","141,681","141,675",6,402,"1,682,200"
Week 22 2015 05/25/2015 - 05/31/2015,"14,872","10,097","7,973","5,394","3,231","2,163","25,787","10,349,034","3,185,590","7,163,444","133,666","133,665",1,381,"1,495,800"
Week 23 2015 06/01/2015 - 06/07/2015,"15,267","10,499","8,310","5,829","3,559","2,270","24,809","10,435,721","3,282,767","7,152,954","138,905","138,904",1,385,"1,507,000"
Week 24 2015 06/08/2015 - 06/14/2015,"15,380","10,535","8,393","5,975","3,922","2,053","24,175","10,480,157","3,213,583","7,266,574","131,850","131,849",1,316,"1,203,500"
Week 25 2015 06/15/2015 - 06/21/2015,"15,406","10,532","8,384","5,990","3,755","2,235","23,943","10,531,900","3,221,504","7,310,396","135,256","135,256",0,293,"898,100"
Week 26 2015 06/22/2015 - 06/28/2015,"16,107","10,975","8,776","6,406","4,004","2,402","23,704","10,996,364","3,298,232","7,698,132","138,294","138,293",1,444,"2,392,800"
Week 27 2015 06/29/2015 - 07/09/2015,"22,571","15,227","11,486","7,772","4,273","3,499","37,143","16,626,652","5,611,512","11,015,140","218,518","218,517",1,533,"1,767,800"
Week 28 2015 07/10/2015 - 07/16/2015,"16,685","11,919","9,479","7,166","4,469","2,697","23,130","10,809,237","3,660,409","7,148,828","140,747","140,744",3,311,"1,142,700"
Week 29 2015 07/17/2015 - 07/23/2015,"17,725","12,972","10,426","8,070","5,510","2,560","23,558","10,948,662","3,819,297","7,129,365","139,720","139,718",2,378,"1,418,000"
Week 30 2015 07/24/2015 - 07/30/2015,"17,489","12,389","9,763","7,394","4,781","2,613","23,684","11,590,014","3,938,760","7,651,254","141,039","141,039",0,519,"2,330,500"
Week 31 2015 07/31/2015 - 08/06/2015,"18,030","13,031","10,356","7,950","5,261","2,689","24,058","11,512,230","4,013,207","7,499,023","110,351","110,347",4,323,"1,313,400"
Week 32 2015 08/07/2015 - 08/13/2015,"18,269","13,287","10,565","8,122","5,203","2,919","24,430","11,556,176","4,083,207","7,472,969","111,617","111,616",1,315,"1,038,100"
Week 33 2015 08/14/2015 - 08/20/2015,"19,425","14,112","11,320","8,741","5,529","3,212","25,794","12,157,754","4,187,341","7,970,413","103,327","103,326",1,319,"1,068,900"
Week 34 2015 08/21/2015 - 08/27/2015,"19,987","14,578","11,594","8,877","5,423","3,454","27,167","12,589,209","4,475,512","8,113,697","130,058","130,057",1,349,"1,316,100"
Week 35 2015 08/28/2015 - 09/03/2015,"21,466","15,889","12,720","9,829","5,967","3,862","28,909","13,118,619","4,753,722","8,364,897","131,479","131,478",1,311,"1,426,500"
Week 36 2015 09/04/2015 - 09/10/2015,"22,822","16,870","13,526","10,502","6,585","3,917","30,239","13,944,687","5,016,381","8,928,306","128,495","128,494",1,354,"1,499,500"
Week 37 2015 09/11/2015 - 09/17/2015,"24,510","18,396","14,806","11,617","7,119","4,498","31,890","14,556,055","5,385,209","9,170,846","125,854","125,854",0,347,"1,314,300"
Week 38 2015 09/18/2015 - 09/24/2015,"26,227","19,892","16,109","12,597","7,684","4,913","35,119","15,178,230","5,675,563","9,502,667","146,675","146,674",1,348,"1,391,500"
Week 39 2015 09/25/2015 - 10/01/2015,"31,585","24,996","20,667","16,634","10,578","6,056","40,329","16,376,535","6,492,638","9,883,897","176,158","176,158",0,330,"1,205,500"
Week 40 2015 10/02/2015 - 10/08/2015,"49,704","42,105","37,188","32,569","24,945","7,624","46,195","18,774,255","7,375,149","11,399,106","375,324","375,323",1,346,"1,329,000"
Week 41 2015 10/09/2015 - 10/15/2015,"76,172","68,328","63,289","58,306","49,441","8,865","49,825","19,324,892","7,559,061","11,765,831","333,521","333,520",1,302,"1,121,900"
Week 42 2015 10/16/2015 - 10/22/2015,"108,250","99,221","93,182","86,973","72,704","14,269","62,086","22,601,928","9,058,159","13,543,769","463,348","463,346",2,359,"1,371,300"
Week 43 2015 10/23/2015 - 10/29/2015,"149,590","139,020","131,551","123,948","103,016","20,932","76,033","27,058,788","11,203,508","15,855,280","524,000","524,000",0,493,"2,156,800"
Week 44 2015 10/30/2015 - 11/05/2015,"233,487","217,504","202,866","188,998","146,589","42,409","138,676","45,931,146","21,956,653","23,974,493","862,037","862,037",0,"6,847","43,705,300"
Week 45 2015 11/06/2015 - 11/12/2015,"388,224","365,414","345,967","326,751","282,148","44,603","192,165","63,385,621","29,170,645","34,214,976","1,275,276","1,275,276",0,"31,984","130,668,100"
Week 46 2015 11/13/2015 - 11/19/2015,"515,763","487,477","460,437","429,483","366,623","62,860","309,535","82,989,938","40,559,869","42,430,069","1,844,133","1,844,132",1,"80,469","431,394,600"
Week 47 2015 11/20/2015 - 11/26/2015,"794,628","745,402","698,339","646,256","484,222","162,034","520,833","144,432,599","70,594,610","73,837,989","3,132,255","3,132,254",1,"202,506","1,324,447,100"
Week 48 2015 11/27/2015 - 12/03/2015,"1,299,338","1,219,781","1,111,673","1,021,763","752,828","268,935","899,096","281,496,910","162,161,441","119,335,469","6,834,886","6,834,118",768,"366,798","2,145,518,500"
Week 49 2015 12/04/2015 - 12/10/2015,"1,567,962","1,461,393","1,319,777","1,212,125","908,765","303,360","1,076,521","372,277,279","212,423,715","159,853,564","8,830,375","8,828,949","1,426","371,214","2,147,856,900"
Week 50 2015 12/11/2015 - 12/17/2015,"1,650,263","1,527,930","1,370,967","1,237,211","952,410","284,801","1,337,560","418,944,041","235,444,693","183,499,348","9,842,865","9,841,703","1,162","406,510","2,326,693,000"
Week 51 2015 12/18/2015 - 12/24/2015,"1,889,136","1,715,616","1,495,865","1,348,855","993,313","355,542","1,470,107","589,905,627","329,625,533","260,280,094","14,604,080","14,601,253","2,827","529,293","2,997,456,100"
Week 52 2015 12/25/2015 - 12/31/2015,"498,582","437,410","340,886","296,104","214,451","81,653","447,822","236,543,415","144,785,852","91,757,563","5,364,362","5,362,855","1,507","199,980","1,116,090,300"
