Market,Activity,12/16/2016,12/17/2016,12/18/2016,12/19/2016,12/20/2016,12/21/2016,12/22/2016,12/23/2016,12/24/2016,12/25/2016,12/26/2016,12/27/2016,12/28/2016,12/29/2016
National,Albums w/TEA w/SEA On-Demand,"252,101","280,426","236,468","235,068","236,796","254,098","273,874","294,374","314,953","277,597","321,192","506,151","477,053","122,753"
National,Albums w/TEA w/SEA On-Demand Audio,"234,209","263,719","221,785","219,273","219,812","236,520","254,663","273,141","296,154","260,838","300,623","464,637","442,877","116,791"
National,Albums w/ TEA,"79,852","86,891","68,551","68,974","63,021","74,521","84,069","80,354","85,318","71,706","77,820","77,723","45,395","43,845"
National,Sales,,,,,,,,,,,,,,
National,Total Album Sales,"73,215","78,958","61,299","62,719","56,349","68,054","77,351","72,698","76,504","63,463","70,233","67,055","37,826","41,236"
National,Physical Albums Sales,"55,618","58,183","43,055","48,041","41,412","53,710","62,627","55,635","56,053","44,770","53,817","40,577","19,014","36,975"
National,Digital Albums Sales,"17,597","20,775","18,244","14,678","14,937","14,344","14,724","17,063","20,451","18,693","16,416","26,478","18,812","4,261"
National,Digital Song Sales,"66,370","79,329","72,523","62,549","66,720","64,675","67,184","76,563","88,144","82,432","75,869","106,681","75,690","26,093"
National,Streaming,,,,,,,,,,,,,,
National,Total Streaming On-Demand,"269,420,425","291,872,377","253,973,785","256,811,244","269,600,797","278,728,464","295,749,118","331,784,545","343,417,048","307,687,229","367,345,494","654,972,721","641,979,297","117,728,703"
National,Streaming On-Demand Audio,"202,323,495","229,224,044","198,913,027","197,581,090","205,907,816","212,810,374","223,710,007","252,160,875","272,921,286","244,842,464","290,209,042","499,297,798","513,817,695","95,373,165"
National,Streaming On-Demand Video,"67,096,930","62,648,333","55,060,758","59,230,154","63,692,981","65,918,090","72,039,111","79,623,670","70,495,762","62,844,765","77,136,452","155,674,923","128,161,602","22,355,538"
National,Total Streaming Programmed,"90,283,979","81,973,623","68,633,017","90,798,427","95,201,729","98,136,043","101,062,707","109,157,048","99,028,422","84,690,835","119,364,452","183,087,470","158,482,099","30,330,122"
National,Streaming Programmed Audio,"90,283,979","81,973,623","68,633,017","90,798,427","95,201,729","98,136,043","101,062,707","109,157,048","99,028,422","84,690,835","119,364,452","183,087,470","158,482,099","30,330,122"
National,Streaming Programmed Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National,Airplay,,,,,,,,,,,,,,
National,Airplay Spins,"80,152","90,018","87,898","87,540","87,462","88,564","90,628","95,165","106,891","108,559","108,037","171,431","217,057","22,435"
National,Airplay Audience,"362,582,800","337,934,300","257,094,700","392,023,400","391,212,200","389,970,700","388,895,600","420,182,700","377,007,500","301,663,100","466,869,800","719,674,900","946,763,500","83,495,800"
