Rank,Title,Artist,Label,Core Genre,Release Date,Albums w/TEA w/SEA On-Demand Audio - YTD,Albums Sales - YTD,Physical Albums Sales - YTD,Digital Albums Sales - YTD,Digital Song Sales - YTD,Streaming On-Demand Audio - YTD,
131,Holiday Spirits,Straight No Chaser,ATLG,Holiday/Seasonal,10/28/2008,"26,007","19,207","17,328","1,879","25,565","6,365,264",
132,Perry Como Christmas,Perry Como,RCA,Holiday/Seasonal,09/25/2001,"26,005","13,297","13,071",226,"10,309","17,515,383",
133,My Kind Of Christmas,Dean Martin,CAP,Holiday/Seasonal,10/06/2009,"25,471",533,533,,"51,581","29,669,607",
134,Making Spirits Bright,Dean Martin,CAP,Holiday/Seasonal,09/08/1998,"25,239",54,54,,"51,803","30,006,527",
135,Canm-alabama-christmas,Alabama,SMCM,Holiday/Seasonal,01/01/1999,"25,209","21,538","18,233","3,305","17,568","2,872,022",
136,Christmas Collection,Brenda Lee,MCAN,Holiday/Seasonal,09/23/2003,"25,078",965,59,906,"68,925","25,831,113",
137,Jingle Bell Rock,Brenda Lee,INT,Holiday/Seasonal,09/07/1993,"24,829","1,182",736,446,"67,368","25,365,652",
138,Best Of/20th Century,Four Tops,MOT,Holiday/Seasonal,09/13/2005,"24,770",687,687,,"113,143","19,152,607",
139,Rockin' Around The Christmas T,Brenda Lee,MCAN,Holiday/Seasonal,10/05/1999,"24,752",638,405,233,"68,925","25,831,113",
140,Rudolph The Red Nosed Reindeer,Gene Autry,CLNV,Holiday/Seasonal,10/11/1994,"24,400","11,681","11,089",592,"24,291","15,435,047",
141,Vol. 1-christmas With The Chip,Chipmunks,,Holiday/Seasonal,01/01/2001,"24,366","24,366","24,366",,,,
142,Christmas Together,John Denver & The Muppets,WDPD,Holiday/Seasonal,09/01/1992,"24,268","18,705","15,107","3,598","8,781","7,026,791",
143,Ultimate Christmas C,Jackson 5,MOT,Holiday/Seasonal,10/13/2009,"24,058","2,518","1,190","1,328","31,034","27,654,413",
144,Chipmunks Christmas,Alvin & The Chipmunks,CAP,Holiday/Seasonal,09/25/2012,"24,041","15,662","12,037","3,625","20,789","9,450,821",
